datetime,filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album,sidecar_user,sidecar_user_error,user_written,user_skipped,user_error
2024-06-23T11:37:28.119760,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-09-105941_IMG_0656.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.121982,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-28-151510_IMG_0265.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.124895,/Users/sglavoie/Pictures/export/2021/12/2021-12-31-212945_IMG_0129.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.127020,/Users/sglavoie/Pictures/export/2023/12/2023-12-24-223731_IMG_1421.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.129284,/Users/sglavoie/Pictures/export/2022/08/2022-08-07-152121_IMG_0420.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.131950,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-23-125112_IMG_1988.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.134214,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-083735_IMG_2550.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.136808,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-21-174503_IMG_1942.MOV,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.138736,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-15-125026_IMG_2153.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.141119,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-17-154037_IMG_0761.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.143188,/Users/sglavoie/Pictures/export/2023/12/Pregnancy_Yuna/2023-12-31-101757_IMG_1460.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.145305,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-07-163520_IMG_0629.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.147372,/Users/sglavoie/Pictures/export/2023/04/2023-04-30-161004_IMG_0936.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.149716,/Users/sglavoie/Pictures/export/2024/02/2024-02-19-171802_IMG_1739.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.151912,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-21-173622_IMG_1900.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.153792,/Users/sglavoie/Pictures/export/2024/03/2024-03-10-121811_IMG_1852.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.155916,/Users/sglavoie/Pictures/export/2023/09/2023-09-16-202054_IMG_1133.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.158647,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-17-164628_IMG_0773.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.160969,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-144122_IMG_2287.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.163086,/Users/sglavoie/Pictures/export/2023/05/2023-05-21-172351_IMG_0998.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.165889,/Users/sglavoie/Pictures/export/2023/10/2023-10-29-162626_IMG_1193.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.169661,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-171159_IMG_1312.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.172575,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-28-214717_IMG_2319.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.175108,/Users/sglavoie/Pictures/export/2023/01/Pregnancy_Yuna/2023-01-11-170253_photo-2023-01-11-16-49-20.jpg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.177091,/Users/sglavoie/Pictures/export/2022/08/2022-08-27-214121_IMG_0487.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.178965,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-05-105510_IMG_5286.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.180747,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-27-172917_IMG_0225.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.183326,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-20-172211_IMG_2505.MOV,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.185831,/Users/sglavoie/Pictures/export/2023/12/2023-12-24-190001_IMG_1381.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.187838,/Users/sglavoie/Pictures/export/2021/12/New_York/2021-12-08-095916_IMG_0089.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.189863,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-16-141006_IMG_5056.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.191982,/Users/sglavoie/Pictures/export/2023/07/San_Diego_Yuna/2023-07-13-200445_IMG_1061.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
